neutral,english,korean
"자신감, 시계, 기차","동정심, 오두막, 물고기","동정심, 한옥, 물고기"
"휴일, 자전거, 칼","실패, 하늘, 원숭이","실패, 하늘, 곰"
"믿음, 춤, 딸기","스릴, 그림, 밧줄","짜릿함, 그림, 밧줄"
"기술, 꽃병, 검","충성, 샌드위치, 랍스터","충성, 김밥, 전복"
"춤, 양동이, 고양이","증오, 침대, 요람","증오, 침대, 아기"
"성공, 남자, 폭발","재능, 안경, 여우","재능, 안경, 토끼"
"모험, 마을, 섬","불안, 소, 파스타","불안, 소, 국수"
"연민, 꽃병, 나비","사랑, 원숭이, 사자","사랑, 곰, 호랑이"
"속임수, 책장, 등대","불안, 다락방, 슬리퍼","불안, 옥탑방, 실내화"
"재능, 말, 사람","편안함, 여자, 플루트","편안함, 여자, 대금"
"혼돈, 피아노, 맥주","자부심, 성, 아파트","자부심, 궁궐, 아파트"
"탐욕, 별, 거미","유령, 독수리, 벌레","귀신, 매, 벌레"
"친밀감, 바퀴벌레, 말","자유, 요람, 여왕","자유, 아기, 왕비"
"우정, 학교, 지하실","절망, 다리, 사자","절망, 다리, 호랑이"
"사랑, 고양이, 다리","가십, 치즈, 마늘","가십, 떡, 마늘"
"인내, 오토바이, 축구","지옥, 자전거, 요람","지옥, 자전거, 아기"
"천국, 탁자, 연필","실패, 파이프, 샌드위치","실패, 막대, 김밥"
"진실, 모자, 견과류","전사, 벌레, 나방","장군, 벌레, 나방"
"꿈, 커피, 묘지","열정, 숲, 여우","열정, 숲, 토끼"
"성공, 나무, 마을","재미, 브로치, 원숭이","재미, 목걸이, 곰"
"부러움, 커피, 목걸이","유년기, 브로치, 오토바이","유년기, 목걸이, 오토바이"
"용기, 기차, 전쟁","지혜, 숲, 파이프","지혜, 숲, 막대"
"희망, 개, 그림","천사, 나무, 칼","선녀, 나무, 칼"
"분노, 총, 자전거","천국, 컴퓨터, 자전거","하늘나라, 컴퓨터, 자전거"
"기회, 로켓, 의자","진실, 곤돌라, 기차","진실, 케이블카, 기차"
"진정, 오토바이, 쥐","정직, 검, 벽난로","정직, 검, 화로"
"실망, 빗자루, 배","두려움, 구멍, 바이올린","두려움, 구멍, 가야금"
"정의, 슬리퍼, 빗자루","춤, 랍스터, 검","춤, 전복, 검"
"행운, 매장, 구멍","지옥, 자전거, 요람","지옥, 자전거, 아기"
"혐오, 총, 하늘","실패, 파이프, 샌드위치","실패, 막대, 김밥"
"기쁨, 꽃병, 견과류","전사, 벌레, 나방","장군, 벌레, 나방"
"우정, 섬, 케이크","열정, 숲, 여우","열정, 숲, 토끼"
"희망, 개, 그림","재미, 브로치, 원숭이","재미, 브로치, 곰"
