PRODUCT_NAME,Ground Truth
"Weikfield Spaghetti Pasta, 400g",190219
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",110419
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",200490
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",4090000
Figaro Olive Oil - 100ml Bottle,150910
"Fresh Organic Ginger, 100g",91011
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",200989
"Catch Red Chilli Powder, 100g",90422
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",230910
"Fresh Baby Orange Nagpur, 1kg",80510
"Britannia Milk Bikis Biscuits, 170.5g or 190.5g",190531
"Veeba Garlic Mayonnaise, 250g",210390
"Mother Dairy Pure Healthy Ghee, 1L",4059020
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",180632
